"ID","alcohol","exercise","height","male","dadht","momht"
1,12,10,66,0,71,66
2,0,5,64,0,68,62
3,0,2,72,1,65,64
4,0,3,68,1,74,62
5,0,6,68,1,70,59
6,5,6.5,64,0,70,65
7,0,2,68.5,1,68,60
8,1.5,3,69,0,76,66
9,4.5,4.5,66,0,70,63
10,1,3,70,1,71,68
11,0,6,67,1,66,63
12,0,1.5,63,0,68,61
13,7,8,68,1,64,62
14,3,0,68,0,69,64
15,15,10,68,1,72,61
16,2.5,3,61,1,62,62
17,1,5,65,0,66,62
18,15,4,64,0,73,70
19,5,3,65,0,75,70
21,35,20,71,1,69,62
22,0,4.5,68,1,68,54
24,55,10,77,1,74,64
25,0,1,68,0,69,68
27,0,5,67,1,66,64
28,10,7,75,1,73,68
29,30,6,72,1,71,67
30,4,9,68,1,68,66
31,20,10,72,1,70,62
32,0,3,66,0,77,60
33,0,2,60,0,65,61
34,0,10,60,0,62,59
35,0,2,60,0,63,62
37,2,3,66,1,64,60
38,0,5,75,1,67,64
39,0,10,69,1,69,64
40,0,8,73,1,67,60
41,10,3,70,1,65,60
42,1,3,64,0,72,60
43,2,10,70,0,74,62
44,0,1.5,64,0,70,61
45,4,4,63,0,70,61
46,0,3,61,0,67,60
47,0,5,69,0,68,65
48,30,4,73,1,73,67
49,1,4,63,0,65,64
50,0,5,70,1,64,60
51,2,2,70,1,68,64
52,0,6,69,1,65,63
53,20,4,76,1,72,66
54,2.5,2,66,0,66,66
55,10,4,65,0,70,64
56,0,2,64,0,68,62
57,0,6,66,0,73,64
58,0,3,65,0,67,61
59,0,2,63,0,67,60
60,1,5.5,63,0,74,64
61,0,2,65,0,75,62
62,2,5,66,0,70,64
63,0,2,67,0,70,64
64,2,6,69,1,67,60
65,3,5,67.5,0,69,69
66,1,2,62,0,60,60
67,0,10,68,1,66,65
68,0,10,64,0,74,63
69,0,2,63,0,68,62
70,0,3,64,0,69,62
71,2,2,63,0,74,58
72,3,6,69,1,68,65
73,10,6,73,1,72,67
74,5,1,66,1,65,60
75,0,8,62.5,0,71.5,65
76,17.5,4.5,65,0,72,64
77,4,1.5,66.5,0,74,63
78,10,1.5,67,1,67,60
79,0,21.5,68,1,65,61
80,1,3.5,69.5,0,72,66
81,15,2,71,1,72,64
82,0,1,63.5,0,67,60
85,6,4,69,0,74,64
86,0,1.5,70.5,1,74.75,62
87,10,0,70,1,70,63
88,0,1,66,1,64,64
89,0,2,65,1,55,66
90,1,5,67,0,72,63
91,0,2,67,0,70,66
92,3,4,70,1,70,64
93,0,0,67,0,66,69
94,6,3,65,1,65,64
95,7,7,70,1,71,67
97,1,3,72,1,74,66
99,0,0,70,1,68,57
100,18,3,70,1,69,69.25
101,0,2.5,67,0,68,65
102,2,1,71,1,69,66
103,1,30,67,0,71,63
104,1,7,63,0,69,60
105,4,1,63,0,67,61
106,0,0,60,0,66,60
107,0,10,64,1,65,60
108,5,2,63,1,64,65
109,0,2,66,1,61,61
110,0,2.5,71,1,70,63
111,0,7,70,1,69,65
112,0,2.5,63,0,75,68
113,0,4.5,65.5,0,71,62
114,2,6,66,0,72,63
115,0,4,72,1,74,67
117,10,0.5,68,0,70,67
119,0,2,65,0,67,62
120,0,1.5,65,0,69,63.5
121,3,2.5,66,0,70,67
122,0,3,62,0,69,63
123,3,2,66,0,68,65
124,3,5,67,0,71,64
125,3,4,63,0,70,61
126,0,1,69,1,71,64
127,3,10,66,0,69,60
128,3,2,70,1,78,60
131,0,7,61,0,69,63
132,0,3,62,0,68,60
133,0,11,65,1,63,61
134,0,3,63.5,0,63,62
135,0,0,61,0,65,62
136,5,2,64,0,63,61
137,15,25,57,1,66,61
138,0,3,69,1,72,62
139,2,7,61,0,69,65
140,0,1.5,76,1,72,64
142,12,4,72.5,1,72,66
143,0,6.5,69,1,68,62
144,20,15,77,1,76,71
145,45,3,75,1,77,63
146,0,1,61,0,68,64
147,0,0,63,0,72,61
148,4,2,62,0,72,62
149,9,5.5,64,0,74,64
150,0,2,64,0,68,62
151,14,5,72,1,73,67
152,0,1,65,0,73,66
153,0,3,64,0,67,61
154,0,2,59,0,64,60
155,1.5,2,65,0,68,67
156,5,4.5,63,0,68,65
157,0,8,71,1,70,66
158,0,1,64.5,0,66.5,62
159,2,2,64,0,71,63
160,5,10,72,1,74,63
161,20,8,68,1,68,63
162,0,2,69,1,67,64
163,2,0,70,0,76,62
164,0,2.5,60,0,65,61
166,3,2,66,1,70,62
167,0,2,62,0,68,63
168,4,5,65,0,72,69
169,3,1.5,72,1,71,65
171,10,7,75,1,74,68
172,5,3,72,1,74,60
173,0,6,64,0,66,62
