"weight","beak","wing","beaktonotch","notchtowing","width"
1.95,1.31,1.07,.44,.75,.35
2.9,1.55,1.49,.53,.9,.47
.72,.99,.84,.34,.57,.32
.81,.99,.83,.34,.54,.27
1.09,1.05,.9,.36,.64,.3
1.22,1.09,.93,.42,.61,.31
1.02,1.08,.9,.4,.51,.31
1.93,1.27,1.08,.44,.77,.34
.64,.99,.85,.36,.56,.29
2.08,1.34,1.13,.45,.77,.37
1.98,1.3,1.1,.45,.76,.38
1.9,1.33,1.1,.48,.77,.38
8.56,1.86,1.47,.6,1.01,.65
4.49,1.58,1.34,.52,.95,.5
8.49,1.97,1.59,.67,1.2,.59
6.17,1.8,1.56,.66,1.02,.59
7.54,1.75,1.58,.63,1.09,.59
6.36,1.72,1.43,.64,1.02,.63
7.63,1.68,1.57,.72,.96,.68
7.78,1.75,1.59,.68,1.08,.62
10.15,2.19,1.86,.75,1.24,.72
6.88,1.73,1.67,.64,1.14,.55

